Meaning,Kanji,Kana,Lesson,vocabulary_kanji,lesson_col,index
o'clock,〜時,〜じ,1,時,3,0
...yen,〜円,〜えん,2,円,3,1
sometimes,時々,ときどき,3,時,3,2
when...; at the time of...,時,とき,4,時,3,3
one thing,一つ,ひとつ,9,一,3,4
two things,二つ,ふたつ,9,二,3,5
three things,三つ,みっつ,9,三,3,6
four things,四つ,よっつ,9,四,3,7
five things,五つ,いつつ,9,五,3,8
six things,六つ,むっつ,9,六,3,9
seven things,七つ,ななつ,9,七,3,10
eight things,八つ,やっつ,9,八,3,11
nine things,九つ,ここのつ,9,九,3,12
one,一,いち,24,一,3,13
two,二,に,24,二,3,14
three,三,さん,24,三,3,15
four,四,よん,24,四,3,16
five,五,ご,24,五,3,17
six,六,ろく,24,六,3,18
seven,七,なな,24,七,3,19
eight,八,はち,24,八,3,20
nine,九,きゅう,24,九,3,21
ten,十,じゅう,24,十,3,22
hundred,百,ひゃく,24,百,3,23
thousand,千,せん,24,千,3,24
ten thousand,万,まん,24,万,3,25
people / nationality,〜人,〜じん,1,人,4,26
Japan,日本,にほん,1,日本,4,27
half,半,はん,1,半,4,28
book,本,ほん,2,本,4,29
water,水,みず,3,水,4,30
Saturday,土曜日,どようび,3,土曜日,4,31
Sunday,日曜日,にちようび,3,日曜日,4,32
person,人,ひと,4,人,4,33
Tuesday,火曜日,かようび,4,火曜日,4,34
Wednesday,水曜日,すいようび,4,水曜日,4,35
Thursday,木曜日,もくようび,4,木曜日,4,36
Friday,金曜日,きんようび,4,金曜日,4,37
alone,一人で,ひとりで,4,一人,4,38
inside,中,なか,4,中,4,39
on (something),上,うえ,4,上,4,40
under,下,した,4,下,4,41
Monday,月曜日,げつようび,4,月曜日,4,42
money,お金,おかね,6,金,4,43
one person,一人,ひとり,7,一人,4,44
two people,二人,ふたり,7,二人,4,45
one day,一日,いちにち,13,一日,4,46
two days,二日,ふつか,13,二日,4,47
three days,三日,みっか,13,三日,4,48
four days,四日,よっか,13,四日,4,49
five days,五日,いつか,13,五日,4,50
six days,六日,むいか,13,六日,4,51
seven days,七日,なのか,13,七日,4,52
eight days,八日,ようか,13,八日,4,53
nine days,九日,ここのか,13,九日,4,54
ten days,十日,とおか,13,十日,4,55
to withdraw (money),下ろす,おろす,15,下,4,56
all day long,一日中,いちにちじゅう,15,一日中,4,57
day,日,ひ,16,日,4,58
please,下さい,ください,19,下,4,59
moon,月,つき,20,月,4,60
tree,木,き,22,木,4,61
now,今,いま,1,今,5,62
I,私,わたし,1,私,5,63
today,今日,きょう,3,今日,5,64
to go,行く,いく,3,行,5,65
to drink,飲む,のむ,3,飲,5,66
to eat,食べる,たべる,3,食,5,67
to see; to look at; to watch,見る,みる,3,見,5,68
weather,天気,てんき,5,天気,5,69
healthy; energetic,元気,げんき（な）,5,元気,5,70
man,男の人,おとこのひと,7,男人,5,71
woman,女の人,おんなのひと,7,女人,5,72
this month,今月,こんげつ,8,今月,5,73
to stare (at ...),じろじろ見る,じろじろみる,8,見,5,74
to be popular,人気がある,にんきがある,9,人気,5,75
mountain,山,やま,11,山,5,81
don't look well,元気がない,げんきがない,12,元気,5,76
I (formal),私,わたくし,13,私,5,77
we,私たち,わたしたち,14,私,5,78
to be cautious/careful,気をつける,きをつける,15,気,5,79
to be visible,見える,みえる,15,見,5,80
to show,見せる,みせる,16,見,5,82
by the end of today,今日中に,きょうじゅうに,16,今日中,5,83
man,男,おとこ,17,男,5,84
woman,女,おんな,17,女,5,85
immediately; right away,今すぐ,いますぐ,18,今,5,86
to find,見つける,みつける,21,見,5,87
Take care of yourself.,元気でね,げんきでね,23,元気,5,88
rice field,田,た,24,田,5,89
river,川,かわ,24,川,5,90
student,学生,がくせい,1,学生,6,91
teacher; Professor ...,先生,せんせい,1,先生,6,92
college; university,大学,だいがく,1,大学,6,93
China,中国,ちゅうごく,1,中国,6,94
college student,大学生,だいがくせい,1,大学生,6,95
right,右,みぎ,4,右,6,96
left,左,ひだり,4,左,6,97
large,大きい,おおきい,5,大,6,98
to go out,出かける,でかける,5,出,6,99
country; place of origin,国,くに,7,国,6,100
college student,大学生,だいがくせい,8,大学生,6,101
last month,先月,せんげつ,9,先月,6,102
(1) to appear; to attend (2) to exit,出る,でる,9,出,6,81
foreign country,外国,がいこく,11,外国,6,82
to cough,せきが出る,せきがでる,12,出,6,83
adult,大人,おとな,13,大人,6,84
foreigner,外国人,がいこくじん,15,外国人,6,103
to take (something) out; to hand in (something),出す,だす,16,出,6,104
outside,外,そと,18,外,6,105
junior high school student,中学生,ちゅうがくせい,19,中学生,6,106
west,西,にし,24,西,6,107
south,南,みなみ,24,南,6,108
east,東,ひがし,24,東,6,109
north,北,きた,24,北,6,110
north exit,北口,きたぐち,24,北口,6,111
mouth,口,くち,24,口,6,112
language,〜語,〜ご,1,語,7,113
high school,高校,こうこう,1,高校,7,114
literature,文学,ぶんがく,1,文学,7,115
high school student,高校生,こうこうせい,1,高校生,7,116
mother,お母さん,おかあさん,1,母,7,117
father,お父さん,おとうさん,1,父,7,118
expensive,高い,たかい,2,高,7,119
school,学校,がっこう,3,学校,7,120
every day,毎日,まいにち,3,毎日,7,121
to go back; to return,帰る,かえる,3,帰,7,122
