,Kana,Kanji,Meaning,Lesson,vocabulary_kanji
1,いま,今,now,1,今
2,えいご,英語,English (language),1,英語
3,がくせい,学生,student,1,学生
4,〜ご,〜語,language,1,語
5,こうこう,高校,high school,1,高校
6,ごご,午後,P.M.,1,午後
7,ごぜん,午前,A.M.,1,午前
8,〜さい,〜歳,...years old,1,歳
10,〜じ,〜時,o'clock,1,時
11,〜じん,〜人,people,1,人
12,せんせい,先生,teacher; Professor ...,1,先生
13,せんもん,専門,major,1,専門
15,だいがく,大学,college; university,1,大学
16,でんわ,電話,telephone,1,電話
17,ともだち,友達,friend,1,友達
18,なまえ,名前,name,1,名前
19,なん／なに,何,what,1,何
20,にほん,日本,Japan,1,日本
21,〜ねんせい,〜年生,...year student,1,年生
23,はん,半,half,1,半
24,ばんごう,番号,number,1,番号
25,りゅうがくせい,留学生,international student,1,留学生
26,わたし,私,I,1,私
30,かんこく,韓国,Korea,1,韓国
32,ちゅうごく,中国,China,1,中国
33,かがく,科学,science,1,科学
34,アジアけんきゅう,アジア研究,Asian studies,1,研究
35,こくさいかんけい,国際関係,international relations,1,国際関係
37,じんるいがく,人類学,anthropology,1,人類学
38,せいじ,政治,politics,1,政治
40,ぶんがく,文学,literature,1,文学
41,れきし,歴史,history,1,歴史
42,しごと,仕事,job; work; occupation,1,仕事
43,いしゃ,医者,doctor,1,医者
44,かいしゃいん,会社員,office worker,1,会社員
45,こうこうせい,高校生,high school student,1,高校生
46,しゅふ,主婦,housewife,1,主婦
47,だいがくいんせい,大学院生,graduate student,1,大学院生
48,だいがくせい,大学生,college student,1,大学生
49,べんごし,弁護士,lawyer,1,弁護士
50,おかあさん,お母さん,mother,1,母
51,おとうさん,お父さん,father,1,父
52,おねえさん,お姉さん,older sister,1,姉
53,おにいさん,お兄さん,older brother,1,兄
54,いもうと,妹,younger sister,1,妹
55,おとうと,弟,younger brother,1,弟
68,さかな,魚,fish,2,魚
70,にく,肉,meat,2,肉
72,やさい,野菜,vegetable,2,野菜
73,えんぴつ,鉛筆,pencil,2,鉛筆
74,かさ,傘,umbrella,2,傘
76,くつ,靴,shoes,2,靴
77,さいふ,財布,wallet,2,財布
79,じしょ,辞書,dictionary,2,辞書
80,じてんしゃ,自転車,bicycle,2,自転車
81,しんぶん,新聞,newspaper,2,新聞
83,とけい,時計,watch; clock,2,時計
87,ぼうし,帽子,hat; cap,2,帽子
88,ほん,本,book,2,本
89,おてあらい,お手洗い,restroom,2,手洗
90,きっさてん,喫茶店,cafe,2,喫茶店
91,ぎんこう,銀行,bank,2,銀行
92,としょかん,図書館,library,2,図書館
93,ゆうびんきょく,郵便局,post office,2,郵便局
94,けいざい,経済,economics,2,経済
96,〜えん,〜円,...yen,2,円
97,たかい,高い,expensive,2,高
104,えいが,映画,movie,3,映画
105,おんがく,音楽,music,3,音楽
106,ざっし,雑誌,magazine,3,雑誌
112,あさごはん,朝御飯,breakfast,3,朝御飯
113,おさけ,お酒,sake; alcohol,3,酒
