,Unnamed: 0,Kana,Kanji,Meaning,Lesson,vocabulary_kanji,lesson_col
8,10,〜じ,〜時,o'clock,1,時,3
65,96,〜えん,〜円,...yen,2,円,3
102,154,ときどき,時々,sometimes,3,時,3
123,188,とき,時,when...; at the time of...,4,時,3
327,459,ひとつ,一つ,one,9,一,3
328,460,ふたつ,二つ,two,9,二,3
329,461,みっつ,三つ,three,9,三,3
330,462,よっつ,四つ,four,9,四,3
331,463,いつつ,五つ,five,9,五,3
332,464,むっつ,六つ,six,9,六,3
333,465,ななつ,七つ,seven,9,七,3
334,466,やっつ,八つ,eight,9,八,3
335,467,ここのつ,九つ,nine,9,九,3
336,468,とお,十,ten,9,十,3
9,11,〜じん,〜人,people,1,人,4
17,20,にほん,日本,Japan,1,日本,4
19,23,はん,半,half,1,半,4
58,88,ほん,本,book,2,本,4
75,119,みず,水,water,3,水,4
83,131,どようび,土曜日,Saturday,3,土曜日,4
84,132,にちようび,日曜日,Sunday,3,日曜日,4
112,172,ひと,人,person,4,人,4
124,189,かようび,火曜日,Tuesday,4,火曜日,4
125,190,すいようび,水曜日,Wednesday,4,水曜日,4
126,191,もくようび,木曜日,Thursday,4,木曜日,4
127,192,きんようび,金曜日,Friday,4,金曜日,4
133,207,ひとりで,一人で,alone,4,一人,4
138,213,なか,中,inside,4,中,4
139,214,うえ,上,on,4,上,4
140,215,した,下,under,4,下,4
143,221,げつようび,月曜日,Monday,4,月曜日,4
185,276,おかね,お金,money,6,金,4
262,371,ひとり,一人,one person,7,一人,4
263,372,ふたり,二人,two people,7,二人,4
431,599,にさんにち,二三日,for two to three days,12,二三日,4
463,646,いちにち,一日,one day,13,一日,4
464,647,ふつか,二日,two days,13,二日,4
465,648,みっか,三日,three days,13,三日,4
466,649,よっか,四日,four days,13,四日,4
467,650,いつか,五日,five days,13,五日,4
468,651,むいか,六日,six days,13,六日,4
469,652,なのか,七日,seven days,13,七日,4
470,653,ようか,八日,eight days,13,八日,4
471,654,ここのか,九日,nine days,13,九日,4
472,655,とおか,十日,ten days,13,十日,4
498,704,ぽん,本,[counter for long objects],14,本,4
520,730,おろす,下ろす,to withdraw (money),15,下,4
532,744,いちにちじゅう,一日中,all day long,15,一日中,4
542,755,ひ,日,day,16,日,4
653,909,くださる,下さる,honorific expression for くれる,19,下,4
681,948,つき,月,moon,20,月,4
748,1046,き,木,tree,22,木,4
0,1,いま,今,now,1,今,5
22,26,わたし,私,I,1,私,5
80,127,きょう,今日,today,3,今日,5
87,135,いく,行く,to go,3,行,5
90,138,のむ,飲む,to drink,3,飲,5
94,142,たべる,食べる,to eat,3,食,5
96,144,みる,見る,to see; to look at; to watch,3,見,5
150,230,てんき,天気,weather,5,天気,5
172,256,げんき（な）,元気,healthy; energetic,5,元気,5
231,330,おとこのひと,男の人,man,7,男人,5
234,333,おんなのひと,女の人,woman,7,女人,5
269,383,こんげつ,今月,this month,8,今月,5
290,411,じろじろみる,じろじろ見る,to stare (at ...),8,見,5
319,448,にんきがある,人気がある,to be popular,9,人気,5
381,530,やま,山,mountain,11,山,5
429,596,げんきがない,元気がない,don't look well,12,元気,5
448,627,わたくし,私,I (formal),13,私,5
493,697,わたしたち,私たち,we,14,私,5
526,737,きをつける,気をつける,to be cautious/careful,15,気,5
529,740,みえる,見える,to be visible,15,見,5
558,774,みせる,見せる,to show,16,見,5
563,780,きょうじゅうに,今日中に,by the end of today,16,今日中,5
569,789,おとこ,男,man,17,男,5
571,791,おんな,女,woman,17,女,5
628,875,いますぐ,今すぐ,right away,18,今,5
735,1029,みつける,見つける,to find,21,見,5
816,1133,げんきでね,元気でね,Take care of yourself.,23,元気,5
2,3,がくせい,学生,student,1,学生,6
10,12,せんせい,先生,teacher; Professor ...,1,先生,6
12,15,だいがく,大学,college; university,1,大学,6
24,32,ちゅうごく,中国,China,1,中国,6
38,48,だいがくせい,大学生,college student,1,大学生,6
134,209,みぎ,右,right,4,右,6
135,210,ひだり,左,left,4,左,6
162,243,おおきい,大きい,large,5,大,6
181,268,でかける,出かける,to go out,5,出,6
239,338,くに,国,country; place of origin,7,国,6
271,385,だいがくせい,大学生,college student,8,大学生,6
307,435,せんげつ,先月,last month,9,先月,6
323,453,でる,出る,(1) to appear; to attend (2) to exit,9,出,6
373,517,がいこく,外国,foreign country,11,外国,6
424,590,せきがでる,せきが出る,to cough,12,出,6
433,604,おとな,大人,adult,13,大人,6
501,707,がいこくじん,外国人,foreigner,15,外国人,6
549,764,だす,出す,to take (something) out; to hand in (something),16,出,6
601,843,そと,外,outside,18,外,6
640,892,ちゅうがくせい,中学生,junior high school student,19,中学生,6
3,4,〜ご,〜語,language,1,語,7
4,5,こうこう,高校,high school,1,高校,7
30,40,ぶんがく,文学,literature,1,文学,7
35,45,こうこうせい,高校生,high school student,1,高校生,7
40,50,おかあさん,お母さん,mother,1,母,7
41,51,おとうさん,お父さん,father,1,父,7
66,97,たかい,高い,expensive,2,高,7
78,123,がっこう,学校,school,3,学校,7
85,133,まいにち,毎日,every day,3,毎日,7
88,136,かえる,帰る,to go back; to return,3,帰,7
128,193,あう,会う,to meet; to see (a person),4,会,7
167,248,ちいさい,小さい,small,5,小,7
211,305,はいる,入る,to enter,6,入,7
235,334,かいしゃ,会社,company,7,会社,7
242,342,ちち,父,(my) father,7,父,7
297,421,いいこ,いい子,good child,9,子,7
371,514,おとこのこ,男の子,boy,11,男子,7
372,516,おんなのこ,女の子,girl,11,女子,7
434,605,がいこくご,外国語,foreign language,13,外国語,7
481,673,はは,母,(my) mother,14,母,7
556,772,いれる,入れる,to put (something) in,16,入,7
634,885,おこさん,お子さん,(your/their) child (polite),19,子,7
794,1101,しょうがっこう,小学校,elementary school,23,小学校,7
16,19,なん／なに,何,what,1,何,8
32,42,しごと,仕事,job; work; occupation,1,仕事,8
34,44,かいしゃいん,会社員,office worker,1,会社員,8
55,81,しんぶん,新聞,newspaper,2,新聞,8
89,137,きく,聞く,to listen; to hear,3,聞,8
92,140,よむ,読む,to read,3,読,8
156,237,やすみ,休み,holiday; day off; absence,5,休,8
158,239,あたらしい,新しい,new,5,新,8
179,265,きく,聞く,to ask,5,聞,8
191,283,つぎ,次,next,6,次,8
192,285,でんき,電気,electricity,6,電気,8
193,286,でんしゃ,電車,train,6,電車,8
213,307,やすむ,休む,to be absent (from...); to rest,6,休,8
240,339,くるま,車,car,7,車,8
266,378,かいしゃいん,会社員,office worker,8,会社員,8
270,384,しごと,仕事,job; work; occupation,8,仕事,8
275,391,なにか,何か,something,8,何,8
284,404,いう,言う,to say,8,言,8
286,407,おもう,思う,to think,8,思,8
288,409,つくる,作る,to make,8,作,8
304,431,さくぶん,作文,essay; composition,9,作文,8
428,595,おだいじに,お大事に,Get well soon.,12,大事,8
480,671,でんしメール,電子メール,e-mail,14,電子,8
651,907,おやすみになる,お休みになる,honorific expression for ねる,19,休,8
692,965,きこえる,聞こえる,to be audible,20,聞,8
710,991,こと,事,things; matters,21,事,8
788,1095,おもいで,思い出,memory,23,思出,8
5,6,ごご,午後,P.M.,1,午後,9
6,7,ごぜん,午前,A.M.,1,午前,9
13,16,でんわ,電話,telephone,1,電話,9
15,18,なまえ,名前,name,1,名前,9
76,120,いえ,家,home; house,3,家,9
77,121,うち,家,home; house; my place,3,家,9
91,139,はなす,話す,to speak; to talk,3,話,9
97,145,くる,来る,to come,3,来,9
120,185,〜じかん,〜時間,hour,4,時間,9
121,186,いちじかん,一時間,one hour,4,一時間,9
130,196,かく,書く,to write,4,書,9
136,211,まえ,前,front,4,前,9
137,212,うしろ,後ろ,back,4,後,9
142,218,あいだ,間,between,4,間,9
168,250,ふるい,古い,old (thing - not used for people),5,古,9
219,314,でんわをかける,電話をかける,to make a phone call,6,電話,9
223,318,あとで,後で,later on,6,後,9
254,358,しる,知る,to get to know,7,知,9
255,359,しっています,知っています,I know,7,知,9
256,360,しりません,知りません,I do not know,7,知,9
265,377,あめ,雨,rain,8,雨,9
278,398,らいげつ,来月,next month,8,来月,9
314,443,しろい,白い,white,9,白,9
392,548,あと,後,after (an event),11,後,9
475,659,おおやさん,大家さん,landlord,14,大家,9
479,669,じかん,時間,time,14,時間,9
564,781,このあいだ,この間,the other day,16,間,9
581,808,すくない,少ない,a little; a few,17,少,9
597,833,まえ,前,before...,17,前,9
598,835,あと,後,the rest,18,後,9
644,897,はなし,話,chat; talk,19,話,9
664,925,はなしをする,話をする,to have a talk,19,話,9
701,977,しょうしょう,少々,a few seconds,20,少,9
739,1035,〜あいだに,〜間に,while...,21,間,9
740,1037,すこし,少し,a little,21,少,9
746,1044,かじ,家事,household matters,22,家事,9
787,1094,もうすこし,もう少し,a little more,22,少,9
803,1114,あめがやむ,雨がやむ,the rain stops,23,雨,9
18,21,〜ねんせい,〜年生,...year student,1,年生,10
79,124,あさ,朝,morning,3,朝,10
118,181,まち,町,town; city,4,町,10
129,195,かう,買う,to buy,4,買,10
196,290,よる,夜,night,6,夜,10
198,292,らいねん,来年,next year,6,来年,10
207,301,たつ,立つ,to stand up,6,立,10
212,306,もつ,持つ,to carry; to hold,6,持,10
222,317,もってくる,持ってくる,to bring (a thing),6,持,10
248,351,ながい,長い,long,7,長,10
257,361,すむ,住む,to live,7,住,10
268,382,けさ,今朝,this morning,8,今朝,10
289,410,もっていく,持っていく,to take (something),8,持,10
339,471,おかねもち,お金持ち,rich person,10,金持,10
342,475,ことし,今年,this year,10,今年,10
370,513,おしょうがつ,お正月,New Year's,11,正月,10
376,522,しゃちょう,社長,president of a company,11,社長,10
411,576,ゆき,雪,snow,12,雪,10
519,729,うる,売る,to sell,15,売,10
543,757,みち,道,way; road; directions,16,道,10
566,785,じぶんで,自分で,(do something) oneself,16,自分,10
594,826,じぶん,自分,oneself,17,自分,10
666,929,まいあさ,毎朝,every morning,19,毎朝,10
37,47,だいがくいんせい,大学院生,graduate student,1,大学院生,11
67,104,えいが,映画,movie,3,映画,11
98,147,べんきょうする,勉強する,to study,3,勉強,11
110,169,てがみ,手紙,letter,4,手紙,11
116,178,びょういん,病院,hospital,4,病院,11
157,238,りょこう,旅行,travel,5,旅行,11
174,258,すき（な）,好き,fond of; to like,5,好,11
176,260,だいすき（な）,大好き,very fond of; to love,5,大好,11
229,328,うた,歌,song,7,歌,11
253,356,うたう,歌う,to sing,7,歌,11
273,388,ところ,所,place,8,所,11
279,399,じょうず,上手,skillful; good at...,8,上手,11
280,400,へた,下手,clumsy; poor at...,8,下手,11
281,401,ゆうめい,有名,famous,8,有名,11
309,438,びょうき,病気,illness; sickness,9,病気,11
353,489,ゆうめいじん,有名人,celebrity,10,有名人,11
374,518,かしゅ,歌手,singer,11,歌手,11
452,632,ちかい,近い,close; near,13,近,11
540,753,だいがくいん,大学院,graduate school,16,大学院,11
572,793,かみ,紙,paper,17,紙,11
580,806,りょこうがいしゃ,旅行会社,travel agency,17,旅行会社,11
582,809,つよい,強い,strong,17,強,11
607,853,あかるい,明るい,bright,18,明,11
93,141,おきる,起きる,to get up,3,起,12
99,149,はやい,早い,early,3,早,12
209,303,つかう,使う,to use,6,使,12
221,316,つれてくる,連れてくる,to bring (a person),6,連,12
249,352,はやい,早い,fast,7,早,12
298,422,いろ,色,color,9,色,12
303,430,こんど,今度,near future,9,今度,12
310,439,あおい,青い,blue,9,青,12
311,440,あかい,赤い,red,9,赤,12
368,511,はやく,早く,(do something) early; fast,10,早,12
387,540,はたらく,働く,to work,11,働,12
425,591,わかれる,別れる,to break up; to separate,12,別,12
546,760,おこす,起こす,to wake (someone) up,16,起,12
550,765,つれていく,連れていく,to take (someone) to (a place),16,連,12
704,984,あかちゃん,赤ちゃん,baby,21,赤,12
715,1000,むかし,昔,old days; past,21,昔,12
786,1092,なんども,何度も,many times,22,何度,12
47,70,にく,肉,meat,2,肉,13
103,160,かいもの,買い物,shopping,4,買物,13
144,222,うみ,海,sea,5,海,13
148,227,たべもの,食べ物,food,5,食物,13
151,231,のみもの,飲み物,drink,5,飲物,13
170,253,やすい,安い,inexpensive; cheap (thing),5,安,13
260,366,きる,着る,to put on (clothes above your waist),7,着,13
267,381,くうき,空気,air,8,空気,13
295,416,りょうりする,料理する,to cook,8,料理,13
410,575,もの,物,thing (concrete object),12,物,13
418,583,わるい,悪い,bad,12,悪,13
436,607,からて,空手,karate,13,空手,13
437,609,きもの,着物,kimono; Japanese traditional dress,13,着物,13
491,695,おなじ,同じ,same,14,同,13
524,735,つく,着く,to arrive,15,着,13
608,854,きぶんがわるい,気分が悪い,to feel sick,18,気分悪,13
674,940,くうこう,空港,airport,20,空港,13
789,1096,かいがいりょこう,海外旅行,trip to a foreign country,23,海外旅行,13
790,1097,からだ,体,body,23,体,13
806,1120,わるぐちをいう,悪口を言う,to talk behind someone's back,23,悪口言,13
1,2,えいご,英語,English (language),1,英語,14
21,25,りゅうがくせい,留学生,international student,1,留学生,14
33,43,いしゃ,医者,doctor,1,医者,14
68,105,おんがく,音楽,music,3,音楽,14
145,223,きって,切手,postal stamps,5,切手,14
166,247,たのしい,楽しい,fun,5,楽,14
180,266,のる,乗る,to ride; to board,5,乗,14
201,295,いそぐ,急ぐ,to hurry,6,急,14
226,323,ほんとうですか,本当ですか,Really?,6,本当,14
236,335,かぞく,家族,family,7,家族,14
251,354,しんせつ,親切,kind,7,親切,14
287,408,きる,切る,to cut,8,切,14
391,547,りゅうがくする,留学する,to study abroad,11,留学,14
